gene,dNdS,Interacting?,Pval
SLA,0.0636787,Interacting,1
SLA2,0.2097471,Interacting,0.890378
SLAIN1,0.07456,Non-interacting,2.78E-05
SLAIN2,0.2075666,Non-interacting,0.2211653
SLAMF1,0.6048095,Interacting,2.51E-05
SLAMF6,1.114765,Interacting,1.20E-09
SLAMF7,1.089366,Interacting,1.02E-10
SLAMF8,0.3041609,Interacting,0.5706345
SLAMF9,0.5112598,Interacting,0.08650055
SLBP,0.2351265,Non-interacting,1
SLC10A1,0.4612264,Non-interacting,6.38E-05
SLC10A2,0.2757759,Non-interacting,0.08034139
SLC10A3,0.1704184,Non-interacting,0.2976053
SLC10A4,0.2119053,Non-interacting,0.00627258
SLC10A5,0.3971644,Non-interacting,0.1280705
SLC10A6,0.3305464,Non-interacting,0.794227
SLC11A1,0.2180759,Non-interacting,0.002310019
SLC12A1,0.1420784,Non-interacting,0.005279786
SLC12A2,0.1404267,Non-interacting,0.8558503
SLC12A3,0.09805,Non-interacting,0.0173509
SLC12A4,0.03754183,Non-interacting,0.2132016
SLC12A5,0.02408579,Non-interacting,0.4331801
SLC12A6,0.04558282,Non-interacting,1
SLC12A7,0.06000926,Non-interacting,1
SLC12A8,0.2320358,Non-interacting,0.2408274
SLC12A9,0.09641685,Non-interacting,0.532676
SLC13A1,0.3889362,Non-interacting,4.05E-09
SLC13A2,0.3244392,Non-interacting,7.37E-05
SLC13A3,0.2241448,Non-interacting,0.003981765
SLC13A4,0.191205,Non-interacting,0.000906161
SLC14A1,0.3900431,Non-interacting,0.3985536
SLC14A2,0.1509497,Non-interacting,0.2241611
SLC15A2,0.3801233,Non-interacting,0.6236159
SLC15A3,0.1368609,Non-interacting,0.003665173
SLC15A4,0.2183757,Non-interacting,0.03408482
SLC15A5,0.5848391,Non-interacting,0.03073961
SLC16A1,0.4028839,Non-interacting,0.008433568
SLC16A11,0.2177596,Non-interacting,0.001435787
SLC16A12,0.1338374,Non-interacting,1
SLC16A13,0.2142482,Non-interacting,1
SLC16A14,0.1195747,Non-interacting,1
SLC16A2,0.1657011,Non-interacting,7.00E-07
SLC16A3,0.06028139,Non-interacting,0.07575408
SLC16A4,0.3756515,Non-interacting,0.09076145
SLC16A5,0.3753004,Non-interacting,0.001428416
SLC16A7,0.247057,Non-interacting,0.09341344
SLC16A8,0.07435938,Non-interacting,0.7675968
SLC16A9,0.2399667,Non-interacting,0.01431957
SLC17A1,0.8293448,Non-interacting,5.02E-06
SLC17A2,0.1971218,Non-interacting,0.008895112
SLC17A3,0.7591371,Non-interacting,0.02233125
SLC17A4,0.3684041,Non-interacting,0.001673201
SLC17A5,0.2241385,Non-interacting,0.08891412
SLC17A6,0.04326331,Non-interacting,0.2574503
SLC17A7,0.0577384,Non-interacting,1
SLC17A8,0.094835,Non-interacting,0.2267577
SLC17A9,0.2212628,Non-interacting,0.03058262
SLC18A1,0.2477562,Non-interacting,0.1223673
SLC18A2,0.1338891,Non-interacting,0.255322
SLC18A3,0.04798311,Non-interacting,1
SLC18B1,0.2263349,Non-interacting,0.1691309
SLC19A1,0.2547795,Non-interacting,0.03430689
SLC19A2,0.1493818,Non-interacting,0.2147053
SLC19A3,0.3712929,Non-interacting,0.5830523
SLC1A1,0.1131141,Non-interacting,0.9240186
SLC1A2,0.08108898,Non-interacting,0.03666033
SLC1A3,0.09082991,Non-interacting,0.01373977
SLC1A4,0.117552,Non-interacting,1
SLC1A5,0.2936037,Non-interacting,0.0109683
SLC1A6,0.05986583,Non-interacting,1
SLC1A7,0.057,Non-interacting,0.006106817
SLC20A1,0.1905163,Non-interacting,0.2438691
SLC20A2,0.1022934,Non-interacting,1
SLC22A1,0.257927,Non-interacting,0.00387536
SLC22A10,0.6758505,Non-interacting,0.001082988
SLC22A11,0.3113761,Non-interacting,0.003337977
SLC22A12,0.277,Non-interacting,0.05035267
SLC22A13,0.3074197,Non-interacting,0.2335575
SLC22A15,0.1038324,Non-interacting,1
SLC22A16,0.6105993,Non-interacting,7.80E-05
SLC22A17,0.04594242,Non-interacting,0.1084056
SLC22A18,0.2203744,Non-interacting,0.06734349
SLC22A18AS,1.945423,Non-interacting,3.61E-11
SLC22A2,0.2464821,Non-interacting,0.1789149
SLC22A23,0.05195185,Non-interacting,1
SLC22A25,0.6717291,Non-interacting,0.3435949
SLC22A3,0.1838486,Non-interacting,1
SLC22A31,0.3522208,Non-interacting,0.3866054
SLC22A4,0.2958688,Non-interacting,0.0391776
SLC22A5,0.150625,Non-interacting,0.3535608
SLC22A6,0.1519855,Non-interacting,1
SLC22A7,0.189182,Interacting,1
SLC22A8,0.2246876,Interacting,0.07344592
SLC22A9,0.6029132,Non-interacting,0.6771779
SLC23A1,0.1618564,Non-interacting,0.156686
SLC23A2,0.1618331,Non-interacting,0.1567459
SLC23A3,0.512418,Non-interacting,0.000112614
SLC24A1,0.4251734,Non-interacting,0.05438228
SLC24A2,0.1486959,Non-interacting,0.518495
SLC24A3,0.03777758,Non-interacting,1
SLC24A4,0.09912375,Non-interacting,0.8458533
SLC24A5,0.250558,Non-interacting,0.5675139
SLC25A10,0.1659768,Non-interacting,1
SLC25A11,0.0461597,Non-interacting,1
SLC25A12,0.08011747,Non-interacting,1
SLC25A13,0.07767417,Non-interacting,0.3803365
SLC25A15,0.2219498,Non-interacting,0.3426332
SLC25A16,0.244716,Non-interacting,0.155359
SLC25A18,0.1251935,Non-interacting,1
SLC25A19,0.3289434,Non-interacting,0.003686539
SLC25A2,0.16605,Non-interacting,0.6194694
SLC25A20,0.2769437,Non-interacting,1
SLC25A21,0.4487764,Non-interacting,0.003203801
SLC25A22,0.1111683,Non-interacting,0.08904931
SLC25A23,0.1075099,Non-interacting,1
SLC25A24,0.1008654,Non-interacting,0.6388982
SLC25A25,0.04629341,Non-interacting,0.07655596
SLC25A26,0.4009636,Non-interacting,2.09E-05
SLC25A27,0.11134,Non-interacting,0.5599216
SLC25A28,0.0781261,Non-interacting,1
SLC25A29,0.04373038,Non-interacting,1
SLC25A3,0.1379254,Non-interacting,1
SLC25A30,0.09224138,Non-interacting,1
SLC25A31,0.1906561,Non-interacting,0.008461802
SLC25A32,0.1047294,Non-interacting,1
SLC25A33,0.1712476,Non-interacting,1
SLC25A34,0.1151325,Non-interacting,0.2058604
SLC25A35,1.401077,Non-interacting,2.22E-14
SLC25A37,0.08528274,Non-interacting,0.6574777
SLC25A38,0.1526656,Non-interacting,1
SLC25A39,0.170037,Non-interacting,0.03848253
SLC25A4,0.06234091,Non-interacting,0.003845064
SLC25A40,0.3268338,Non-interacting,0.02951076
SLC25A41,0.1480162,Non-interacting,0.7330738
SLC25A42,0.08090221,Non-interacting,0.001112195
SLC25A43,0.2617692,Non-interacting,1
SLC25A44,0.1174508,Non-interacting,0.6458285
SLC25A45,0.2897491,Non-interacting,0.000284838
SLC25A47,0.1357836,Non-interacting,0.0987729
SLC25A48,0.1336699,Non-interacting,0.3890772
SLC25A53,0.07279817,Non-interacting,1
SLC25A6,0.04304167,Non-interacting,1
SLC26A1,0.1314922,Non-interacting,0.00046971
SLC26A10,0.3249035,Non-interacting,0.251509
SLC26A11,0.1694125,Non-interacting,0.7696435
SLC26A2,0.2704057,Non-interacting,0.1435535
SLC26A3,0.6459417,Interacting,1.53E-27
SLC26A4,0.1505638,Non-interacting,1
SLC26A5,0.1352745,Non-interacting,0.03049586
SLC26A6,0.2833408,Non-interacting,0.05630127
SLC26A7,0.1818682,Non-interacting,0.466369
SLC26A8,0.7281765,Non-interacting,6.87E-07
SLC26A9,0.179265,Non-interacting,0.6603176
SLC27A1,0.0669154,Non-interacting,1
SLC27A2,0.3691135,Non-interacting,0.01200102
SLC27A3,0.3051446,Non-interacting,1
SLC27A4,0.1346038,Non-interacting,1
SLC27A5,0.2964172,Non-interacting,0.05376199
SLC27A6,0.3557407,Non-interacting,0.03513916
SLC28A1,0.3483153,Non-interacting,0.6357091
SLC28A2,0.3648359,Non-interacting,0.02128501
SLC28A3,0.324487,Non-interacting,1
SLC29A1,0.2044797,Non-interacting,9.30E-05
SLC29A2,0.1603224,Non-interacting,0.2385828
SLC29A3,0.1835704,Non-interacting,0.2202966
SLC29A4,0.1004466,Non-interacting,0.03260726
SLC2A1,0.06838969,Non-interacting,0.01097426
SLC2A10,0.3274267,Non-interacting,0.000203293
SLC2A11,0.3671514,Non-interacting,8.64E-05
SLC2A12,0.1909076,Non-interacting,0.529051
SLC2A13,0.08430603,Non-interacting,1
SLC2A2,0.2516807,Non-interacting,0.01562315
SLC2A4,0.09420079,Non-interacting,0.2135448
SLC2A4RG,0.2571123,Non-interacting,0.003381674
SLC2A5,0.1823381,Non-interacting,0.00511499
SLC2A6,0.08915675,Non-interacting,1
SLC2A7,0.1919493,Non-interacting,0.01342738
SLC2A8,0.1777409,Non-interacting,0.6363784
SLC2A9,0.3019035,Non-interacting,0.001385897
SLC30A1,0.4207837,Non-interacting,0.001123926
SLC30A10,0.2672541,Non-interacting,0.003581826
SLC30A2,0.2103656,Non-interacting,0.4346064
SLC30A3,0.06915176,Non-interacting,1
SLC30A4,0.3256721,Non-interacting,0.8176936
SLC30A5,0.09038663,Non-interacting,0.04110522
SLC30A6,0.09019121,Non-interacting,0.266888
SLC30A7,0.0793674,Non-interacting,0.9301935
SLC30A8,0.3094417,Interacting,0.1944645
SLC30A9,0.1368225,Non-interacting,1
SLC31A2,0.3063662,Non-interacting,0.000409203
SLC32A1,0.03281057,Non-interacting,1
SLC33A1,0.1939399,Non-interacting,0.3062249
SLC34A1,0.1971216,Non-interacting,0.009885977
SLC34A2,0.2226328,Non-interacting,0.1251701
SLC34A3,0.1869708,Non-interacting,0.1600656
SLC35A1,0.07068976,Non-interacting,0.08334339
SLC35A2,0.09276815,Non-interacting,0.6891823
SLC35A3,0.1087975,Non-interacting,0.4222725
SLC35A4,0.1869908,Non-interacting,1
SLC35A5,0.3405749,Non-interacting,0.6214363
SLC35B1,0.05062848,Non-interacting,1
SLC35B2,0.08742558,Non-interacting,1
SLC35B3,0.1762789,Non-interacting,0.08451948
SLC35B4,0.1855906,Non-interacting,1
SLC35C1,0.08870455,Non-interacting,0.07066541
SLC35C2,0.1876523,Non-interacting,0.007705531
SLC35D1,0.06966159,Non-interacting,0.8860392
SLC35D2,0.1721607,Non-interacting,0.3010982
SLC35D3,0.0631299,Non-interacting,0.311058
SLC35E1,0.03105195,Non-interacting,0.2732461
SLC35E2B,0.1274106,Non-interacting,0.1718248
SLC35E3,0.2121379,Non-interacting,0.3872943
SLC35E4,0.1872165,Non-interacting,0.3342541
SLC35F1,0.03226935,Non-interacting,1
SLC35F2,0.2054135,Non-interacting,3.16E-06
SLC35F3,0.2763286,Non-interacting,3.85E-13
SLC35F4,0.08895122,Non-interacting,0.000617007
SLC35F5,0.1212008,Non-interacting,0.7931567
SLC35F6,0.09390028,Non-interacting,1
SLC35G1,0.4908757,Non-interacting,0.8714177
SLC35G2,0.1552349,Non-interacting,0.0604176
SLC35G3,0.5879408,Non-interacting,2.14E-07
SLC35G4,0.5557751,Non-interacting,1.76E-07
SLC35G5,0.5588107,Non-interacting,1.96E-07
SLC35G6,0.5646006,Non-interacting,1.03E-06
SLC36A1,0.1059337,Non-interacting,1
SLC36A2,0.3094292,Non-interacting,0.003943429
SLC36A3,0.3362235,Non-interacting,0.00730876
SLC36A4,0.1578704,Non-interacting,0.4838881
SLC37A1,0.0888743,Non-interacting,0.4038347
SLC37A2,0.1683857,Non-interacting,0.0208715
SLC37A3,0.1615411,Non-interacting,1
SLC37A4,0.2002214,Non-interacting,1
SLC38A1,0.1424004,Non-interacting,0.000107856
SLC38A10,0.2787215,Non-interacting,0.003665967
SLC38A11,0.2226137,Non-interacting,1
SLC38A2,0.2509605,Non-interacting,0.5707939
SLC38A3,0.1264503,Non-interacting,0.03234948
SLC38A4,0.1462927,Non-interacting,1
SLC38A5,0.2915878,Non-interacting,1
SLC38A6,0.3590253,Non-interacting,0.03818218
SLC38A7,0.1360023,Non-interacting,0.1620424
SLC38A9,0.1888565,Non-interacting,1
SLC39A10,0.09526563,Non-interacting,0.1799746
SLC39A11,0.1026161,Non-interacting,1
SLC39A12,0.3080087,Non-interacting,0.00096152
SLC39A13,0.2065335,Non-interacting,0.01516921
SLC39A14,0.1655143,Non-interacting,8.01E-09
SLC39A2,0.5091829,Non-interacting,0.1593765
SLC39A3,0.03990559,Non-interacting,1
SLC39A4,0.2348808,Non-interacting,5.56E-05
SLC39A5,0.2791134,Non-interacting,0.03202433
SLC39A6,0.1418098,Non-interacting,0.6442521
SLC39A7,0.2577222,Non-interacting,1
SLC39A8,0.1354975,Non-interacting,0.9444787
SLC39A9,0.1007356,Non-interacting,0.8839701
SLC3A1,0.3883338,Non-interacting,0.000509296
SLC3A2,0.53424,Non-interacting,1.26E-14
SLC41A1,0.04950489,Non-interacting,0.04404474
SLC41A2,0.2282943,Non-interacting,1
SLC41A3,0.4799742,Non-interacting,3.88E-05
SLC43A1,0.2015696,Non-interacting,0.837475
SLC43A2,0.06083598,Non-interacting,0.2841251
SLC43A3,0.3346386,Non-interacting,0.03655051
SLC44A1,0.9738424,Non-interacting,1.41E-14
SLC44A2,0.1160059,Non-interacting,0.01513332
SLC44A3,0.3734862,Non-interacting,0.01307473
SLC44A4,0.2778517,Non-interacting,1.15E-06
SLC44A5,0.467193,Non-interacting,0.04387572
SLC45A1,0.05553905,Non-interacting,1
SLC45A2,0.335734,Non-interacting,1
SLC45A3,0.08747143,Non-interacting,0.5413334
SLC45A4,0.1784674,Non-interacting,4.20E-10
SLC46A1,0.1918435,Non-interacting,0.004903878
SLC46A2,0.2041346,Non-interacting,0.2753961
SLC46A3,0.2489458,Non-interacting,0.3903832
SLC47A1,0.8381261,Non-interacting,2.84E-12
SLC47A2,0.4306104,Non-interacting,0.01428468
SLC48A1,0.1156667,Non-interacting,1
SLC4A1,0.2333665,Non-interacting,0.001312721
SLC4A10,0.1156102,Non-interacting,6.72E-20
SLC4A11,0.1398025,Non-interacting,2.43E-05
SLC4A1AP,0.3698068,Interacting,0.005938665
SLC4A2,0.09351214,Non-interacting,1
SLC4A3,0.05602841,Non-interacting,1
SLC4A4,0.123953,Non-interacting,8.59E-13
SLC4A5,0.124018,Non-interacting,8.55E-13
SLC4A7,0.09002494,Non-interacting,0.8255988
SLC4A8,0.05728362,Non-interacting,0.02764815
SLC4A9,0.3049673,Non-interacting,0.1136724
SLC50A1,0.3915238,Non-interacting,0.2487316
SLC51A,0.2697713,Non-interacting,0.1757755
SLC51B,0.5879219,Non-interacting,0.3594368
SLC52A1,0.4454206,Non-interacting,0.05165388
SLC52A2,0.2889753,Non-interacting,0.5312112
SLC52A3,0.2072253,Non-interacting,4.36E-05
SLC5A1,0.1902024,Non-interacting,0.07234114
SLC5A10,0.1010738,Non-interacting,0.05513435
SLC5A11,0.2395674,Non-interacting,0.1358203
SLC5A12,0.2177736,Non-interacting,0.7382734
SLC5A2,0.1002464,Non-interacting,0.6235208
SLC5A3,0.06733002,Non-interacting,0.9030029
SLC5A5,0.2395548,Non-interacting,0.007684873
SLC5A7,0.07790114,Non-interacting,0.1029187
SLC5A8,0.2856956,Non-interacting,0.5656956
SLC5A9,0.1959852,Non-interacting,0.007713351
SLC6A1,0.01238564,Non-interacting,1
SLC6A11,0.09235612,Non-interacting,0.486481
SLC6A12,0.1542233,Non-interacting,0.6431299
SLC6A13,0.155925,Non-interacting,0.2222739
SLC6A14,0.2299639,Non-interacting,0.03594125
SLC6A15,0.1410449,Non-interacting,0.04745372
SLC6A16,1.009367,Non-interacting,4.25E-05
SLC6A17,0.04886501,Non-interacting,0.08561898
SLC6A18,0.1703082,Non-interacting,0.2091526
SLC6A19,0.1386966,Non-interacting,3.71E-05
SLC6A2,0.05287521,Non-interacting,0.7564751
SLC6A20,0.130377,Non-interacting,0.01369
SLC6A3,0.06957469,Non-interacting,1
SLC6A4,0.07927822,Non-interacting,0.1278923
SLC6A5,0.05287521,Non-interacting,0.7564751
SLC6A6,0.164189,Non-interacting,0.05592546
SLC6A8,0.1236739,Non-interacting,0.8284905
SLC6A9,0.1117163,Non-interacting,0.01166146
SLC7A1,0.06770974,Non-interacting,0.7533615
SLC7A10,0.1015679,Non-interacting,0.1882917
SLC7A11,0.1502596,Interacting,1
SLC7A13,0.6821883,Interacting,3.94E-08
SLC7A14,0.05251546,Interacting,1
SLC7A2,0.207933,Non-interacting,7.90E-08
SLC7A3,0.4295121,Interacting,0.004271853
SLC7A5,0.04619951,Interacting,0.08836925
SLC7A6,0.2498102,Non-interacting,0.02694322
SLC7A6OS,0.300343,Non-interacting,0.8546074
SLC7A7,0.213601,Non-interacting,0.393127
SLC7A8,0.04832432,Non-interacting,1
SLC7A9,0.1553433,Non-interacting,0.04023028
SLC8A1,0.07669304,Non-interacting,6.32E-05
SLC8A2,0.04325545,Non-interacting,0.1596901
SLC8A3,0.05670033,Non-interacting,0.1797512
SLC8B1,0.2206072,Non-interacting,0.03781625
SLC9A1,0.05168627,Non-interacting,1
SLC9A2,0.1174741,Interacting,0.6174922
SLC9A3,0.06644125,Non-interacting,0.01296903
SLC9A4,0.2628093,Non-interacting,0.04585792
SLC9A5,0.1661971,Non-interacting,1
SLC9A6,0.1176852,Non-interacting,0.000457945
SLC9A7,0.09872414,Non-interacting,0.6072302
SLC9A8,0.01945704,Non-interacting,1
SLC9A9,0.1624767,Non-interacting,0.05315014
SLC9B1,0.7862685,Non-interacting,1.95E-07
SLC9B2,0.2836245,Non-interacting,0.8750467
SLC9C1,0.9004562,Non-interacting,3.53E-16
SLC9C2,0.911648,Non-interacting,6.69E-22
SLCO1A2,0.2837355,Non-interacting,0.2875012
SLCO1B1,0.6806179,Non-interacting,1.23E-05
SLCO1B3,0.5982287,Non-interacting,3.65E-06
SLCO1C1,0.3069494,Non-interacting,3.03E-12
SLCO2A1,0.2488435,Non-interacting,0.000204483
SLCO2B1,0.2615241,Non-interacting,0.3291818
SLCO3A1,0.1231817,Non-interacting,8.14E-18
SLCO4A1,0.1785646,Non-interacting,0.3847537
SLCO4C1,0.3348938,Non-interacting,0.03554569
SLCO5A1,0.1629776,Non-interacting,0.1102254
SLCO6A1,1.124476,Non-interacting,7.25E-21
SLF2,0.3364034,Non-interacting,1
SLFN12,0.6316707,Non-interacting,0.07652189
SLFN12L,0.9592134,Non-interacting,5.22E-10
SLFN14,0.4857362,Non-interacting,0.02780528
SLFN5,0.7216535,Non-interacting,0.000775319
SLFNL1,0.1773111,Non-interacting,0.1186801
SLIT3,0.06121859,Non-interacting,0.9428567
SLITRK1,0.02313813,Non-interacting,1
SLITRK2,0.04551834,Non-interacting,1
SLITRK3,0.04735517,Non-interacting,1
SLITRK4,0.05160982,Non-interacting,1
SLITRK5,0.04544607,Non-interacting,1
SLITRK6,0.1100763,Non-interacting,1
SLK,0.2918545,Interacting,0.19285
SLN,1.244419,Non-interacting,0.005413999
SLPI,0.7949091,Non-interacting,0.002755845
SLU7,0.1731416,Non-interacting,0.7840874
SLURP1,0.4543366,Non-interacting,0.8493215
SLX1A,0.2463736,Non-interacting,0.06398567
SLX4,0.4887572,Interacting,0.001081791
SLX4IP,0.7337794,Non-interacting,0.000608617
SMAD4,0.04190909,Interacting,0.7569956
SMAGP,0.7745464,Non-interacting,0.04616099
SMAP,0.08207791,Non-interacting,0.02200737
SMAP2,0.09908,Interacting,1
SMARCA2,0.04971572,Interacting,1
SMARCA4,0.005452954,Interacting,0.1042887
SMARCA5,0.007015091,Interacting,0.3875612
SMARCAD1,0.1242127,Interacting,0.3118733
SMARCAL1,0.3318929,Interacting,0.13029
SMARCB1,0.07653457,Non-interacting,0.0414007
SMARCC2,0.07698816,Non-interacting,0.00268108
SMARCD2,0.07396573,Interacting,0.01693449
SMARCD3,0.01882713,Non-interacting,0.002454488
SMC1A,0.008772727,Non-interacting,1
SMC1B,0.3470649,Interacting,6.59E-05
SMC2,0.1181501,Non-interacting,1
SMC4,0.1955369,Non-interacting,0.1645376
SMC5,0.1331662,Non-interacting,0.09717442
SMC6,0.1467897,Non-interacting,0.002450451
SMCO1,0.5020758,Non-interacting,0.1919384
SMCO2,0.9774927,Non-interacting,0.002260162
SMCO3,0.2483333,Non-interacting,0.03699652
SMCO4,0.006254237,Non-interacting,1
SMCP,0.5864655,Non-interacting,0.09457458
SMCR8,0.1669072,Non-interacting,0.01034602
SMDT1,0.3770096,Non-interacting,0.2143804
SMG1,0.04101477,Non-interacting,0.000491986
SMG5,0.09313892,Non-interacting,0.06612425
SMG6,0.1958927,Non-interacting,0.1536325
SMG7,0.1453695,Non-interacting,0.004464387
SMG8,0.06417817,Non-interacting,0.482609
SMG9,0.1377008,Non-interacting,0.7772053
SMIM1,0.1337544,Non-interacting,0.2191016
SMIM10,0.3020515,Non-interacting,0.5395136
SMIM11A,0.4347885,Non-interacting,0.813436
SMIM12,0,Non-interacting,1
SMIM13,0.1513846,Non-interacting,1
SMIM14,0.1938182,Non-interacting,0.01674429
SMIM17,0.3926098,Non-interacting,1
SMIM18,0.03408511,Non-interacting,1
SMIM19,0.03812821,Non-interacting,0.5572432
SMIM2,0.3739529,Non-interacting,1
SMIM20,0.2259265,Non-interacting,0.01209554
SMIM21,0.7416737,Non-interacting,0.222666
SMIM22,0.3917241,Non-interacting,0.08170508
SMIM23,0.8364966,Non-interacting,0.002250869
SMIM24,0.5512419,Non-interacting,0.000771596
SMIM29,0.6096923,Non-interacting,0.08565416
SMIM3,0.1073607,Non-interacting,1
SMIM4,0.3142571,Non-interacting,0.06442553
SMIM5,0.2134935,Non-interacting,1
SMIM6,1.568644,Non-interacting,0.01386881
SMIM7,1.005105,Non-interacting,2.12E-07
SMIM8,0.3402976,Non-interacting,0.514711
SMIM9,1,Non-interacting,0.3905149
SMKR1,0.1666154,Non-interacting,0.08330492
SMLR1,0.6008316,Non-interacting,0.4812029
SMN1,0.3328407,Interacting,0.1686988
SMO,0.06367799,Non-interacting,1
SMOC1,0.1344198,Non-interacting,0.1730712
SMOC2,0.07883683,Non-interacting,2.52E-05
SMOX,0.07319565,Non-interacting,0.2230013
SMPD1,0.2290048,Non-interacting,0.002489022
SMPD2,0.357171,Non-interacting,0.0301716
SMPD3,0.09924159,Non-interacting,0.02300751
SMPD4,0.1123041,Non-interacting,0.5427569
SMPDL3A,0.3136774,Non-interacting,0.7389315
SMPDL3B,0.4140948,Non-interacting,0.008581524
SMPX,0.100764,Non-interacting,0.3306884
SMR3A,2.336046,Non-interacting,6.81E-05
SMR3B,0.5121125,Non-interacting,0.5202498
SMRP1,0.3993918,Non-interacting,0.000121691
SMTN,0.3428157,Non-interacting,5.18E-07
SMTNL1,0.5117728,Non-interacting,0.000811644
SMTNL2,0.2009606,Non-interacting,0.7705355
SMU1,0.0618668,Non-interacting,0.06386956
SMURF1,0.06771854,Interacting,0.8231085
SMURF2,0.01110944,Non-interacting,1
SMYD1,0.09031768,Non-interacting,0.04847665
SMYD2,0.07934107,Non-interacting,0.008953905
SMYD5,0.09611058,Non-interacting,1
SNAI2,0.04408955,Non-interacting,1
SNAP25,0.1325894,Non-interacting,0.7927485
SNAP29,0.2174758,Non-interacting,0.4677569
SNAP47,0.2584292,Non-interacting,0.001906707
SNAPC1,0.3064693,Non-interacting,0.349933
SNAPC2,0.295979,Non-interacting,0.4063046
SNAPC3,0.3123131,Non-interacting,0.008531938
SNAPC4,0.4111656,Non-interacting,1.79E-06
SNAPC5,0.1919479,Non-interacting,0.8258782
SNAPIN,0.05448913,Non-interacting,0.6048775
SNCAIP,0.1820085,Interacting,0.5883019
SNCB,0.2145891,Non-interacting,0.2050096
SNCG,0.2606972,Non-interacting,0.09272739
SND1,0.0572399,Interacting,1
SNED1,0.1467642,Interacting,0.02765428
SNIP1,0.1832036,Non-interacting,0.2203347
SNN,0.009636364,Non-interacting,1
SNPH,0.07449904,Non-interacting,1
SNRK,0.03797368,Interacting,0.3748365
SNRNP25,0.05462879,Interacting,0.5723586
SNRNP27,0.5911782,Non-interacting,9.67E-14
SNRNP35,0.06996356,Non-interacting,0.5919573
SNRNP48,0.1857853,Non-interacting,0.4434046
SNRNP70,0.01314953,Non-interacting,1
SNRPB,0.3296278,Non-interacting,0.001098602
SNRPC,0.2558608,Non-interacting,0.0009049
SNRPN,0.05556485,Non-interacting,1
SNTG1,0.08440741,Non-interacting,0.4320748
SNTN,0.7629545,Non-interacting,0.0178072
SNU13,0.1924567,Non-interacting,0.1573169
SNURF,0.1905,Non-interacting,0.7902334
SNW1,0.2850618,Non-interacting,2.45E-20
SNX11,0.232677,Non-interacting,0.426679
SNX12,0.0880566,Non-interacting,1
SNX13,0.05134769,Non-interacting,1
SNX14,0.06429776,Non-interacting,0.02204249
SNX15,0.1594985,Non-interacting,0.3161706
SNX16,0.2221519,Non-interacting,0.02719094
SNX17,0.03370701,Interacting,1
SNX18,0.06729293,Interacting,1
SNX19,0.3155535,Non-interacting,0.1312093
SNX20,0.1219108,Non-interacting,0.2431178
SNX21,0.1609167,Non-interacting,1
SNX22,0.3113385,Non-interacting,1
SNX24,0.03828369,Non-interacting,1
SNX25,0.2312571,Non-interacting,0.05853226
SNX27,3.826168,Interacting,2.27E-17
SNX29,0.1493689,Non-interacting,0.004071157
SNX3,0.1520496,Non-interacting,0.5286759
SNX30,0.05539373,Interacting,0.003632715
SNX31,0.4781622,Interacting,0.06626066
SNX32,0.03598711,Interacting,0.03032862
SNX33,0.05539373,Interacting,0.003632715
SNX6,0.1865094,Interacting,1
SNX7,0.1644765,Non-interacting,1
SNX8,0.1178696,Non-interacting,0.4408011
SNX9,0.08510051,Interacting,0.1262349
SOAT1,0.2054411,Non-interacting,0.9538999
SOAT2,0.2386705,Non-interacting,0.05124922
SOBP,0.1048501,Non-interacting,1
SOCS1,0.03478846,Non-interacting,1
SOCS3,0.01120982,Non-interacting,1
SOCS6,0.0669794,Non-interacting,0.1861168
SOCS7,0.1391456,Non-interacting,0.8310325
SOD2,0.179307,Interacting,1
SOD3,0.1104188,Interacting,0.6432367
SOGA1,0.0574534,Non-interacting,0.4162904
SOGA3,0.1429778,Non-interacting,0.7949291
SOHLH1,0.5424223,Non-interacting,0.002083906
SOHLH2,0.527145,Non-interacting,0.03673947
SON,0.2991343,Non-interacting,0.001637867
SORBS1,0.2321833,Interacting,0.3326629
SORBS2,0.1494827,Interacting,0.001357138
SORBS3,0.2900209,Interacting,0.04872321
SORCS1,0.07408927,Non-interacting,0.02385882
SORCS2,0.1646302,Non-interacting,0.000445344
SORCS3,0.06552299,Non-interacting,1
SORT1,0.1501749,Non-interacting,1
SOST,0.04226291,Non-interacting,0.06950897
SOSTDC1,0.176587,Non-interacting,1.58E-06
SOWAHA,0.2793479,Interacting,0.7999707
SOWAHB,0.3667363,Interacting,0.7180218
SOWAHD,0.3097846,Interacting,1
SOX1,0.03402105,Non-interacting,1
SOX10,0.05782989,Non-interacting,0.5737647
SOX11,0.038,Non-interacting,1
SOX12,0.1354792,Non-interacting,0.02018356
SOX13,0.1160336,Non-interacting,0.000247673
SOX14,0.005029289,Non-interacting,1
SOX17,0.05471359,Interacting,1
SOX18,0.2090265,Non-interacting,0.2477526
SOX21,0.008241935,Non-interacting,1
SOX3,0.08866583,Non-interacting,1
SOX4,0.07235232,Non-interacting,1
SOX5,1.341414,Non-interacting,3.04E-08
SOX7,0.01218325,Non-interacting,0.8078413
SOX8,0.04548315,Non-interacting,1
SOX9,0.02014793,Non-interacting,1
SP1,0.1388295,Interacting,0.05016474
SP100,1.047734,Non-interacting,7.29E-26
SP110,0.058325,Non-interacting,0.6977777
SP140,0.7988086,Non-interacting,0.000384711
SP140L,0.6038219,Interacting,0.05903548
SP3,0.3130233,Non-interacting,3.33E-13
SP4,0.05253787,Interacting,1
