gene,Pval corrected,Int?
BTBD3,1,Interacting
BTBD6,1,Interacting
BTC,1,Non-interacting
BTF3L4,1,Non-interacting
BTG2,1,Non-interacting
BTG3,1,Non-interacting
BTK,1,Interacting
BTRC,1,Interacting
BUB1,1,Interacting
BUB3,1,Non-interacting
BUD13,1,Non-interacting
BUD23,1,Non-interacting
BUD31,1,Non-interacting
BYSL,1,Non-interacting
BZW1,1,Non-interacting
BZW2,1,Non-interacting
C10orf76,1,Non-interacting
C11orf42,1,Non-interacting
C11orf53,1,Non-interacting
C11orf71,1,Non-interacting
C11orf84,1,Non-interacting
C12orf10,1,Non-interacting
C12orf29,1,Non-interacting
C12orf45,1,Non-interacting
C12orf49,1,Non-interacting
C12orf66,1,Non-interacting
C12orf71,1,Non-interacting
C14orf1,1,Non-interacting
C14orf119,1,Non-interacting
C14orf159,1,Non-interacting
C14orf93,1,Non-interacting
C15orf40,1,Non-interacting
C15orf53,1,Non-interacting
C15orf62,1,Non-interacting
C16orf54,1,Non-interacting
C16orf82,1,Non-interacting
C16orf86,1,Non-interacting
C16orf87,1,Non-interacting
C17orf100,1,Non-interacting
C17orf105,1,Non-interacting
C17orf50,1,Non-interacting
C17orf58,1,Non-interacting
C17orf62,1,Non-interacting
C17orf67,1,Non-interacting
C18orf25,1,Non-interacting
C18orf8,1,Non-interacting
C19orf67,1,Non-interacting
C19orf71,1,Non-interacting
C19orf81,1,Non-interacting
C1GALT1C1,1,Non-interacting
C1orf100,1,Non-interacting
C1orf112,1,Non-interacting
C1orf146,1,Non-interacting
C1orf158,1,Non-interacting
C1orf186,1,Non-interacting
C1orf198,1,Non-interacting
C1orf21,1,Non-interacting
C1orf216,1,Non-interacting
C1orf52,1,Non-interacting
C1orf74,1,Non-interacting
C1QC,1,Non-interacting
C1QL1,1,Non-interacting
C1QL2,1,Non-interacting
C1QL3,1,Non-interacting
C1QTNF2,1,Non-interacting
C1QTNF3,1,Non-interacting
C1QTNF5,1,Non-interacting
C1QTNF8,1,Non-interacting
C1QTNF9,1,Non-interacting
C1QTNF9B,1,Non-interacting
C20orf144,1,Non-interacting
C20orf194,1,Non-interacting
C20orf202,1,Non-interacting
C20orf27,1,Non-interacting
C21orf59,1,Non-interacting
C22orf39,1,Non-interacting
C2CD2,1,Non-interacting
C2orf54,1,Non-interacting
C2orf80,1,Non-interacting
C3orf14,1,Non-interacting
C3orf18,1,Non-interacting
C3orf62,1,Non-interacting
C3orf70,1,Non-interacting
C3orf80,1,Non-interacting
C4orf19,1,Non-interacting
C4orf22,1,Non-interacting
C4orf36,1,Non-interacting
C4orf46,1,Non-interacting
C5orf22,1,Non-interacting
C5orf30,1,Non-interacting
C5orf34,1,Non-interacting
C5orf46,1,Non-interacting
C5orf47,1,Non-interacting
C5orf63,1,Non-interacting
C6orf106,1,Non-interacting
C6orf48,1,Non-interacting
C6orf89,1,Non-interacting
C7orf26,1,Non-interacting
C7orf31,1,Non-interacting
C8orf4,1,Non-interacting
C8orf46,1,Non-interacting
C8orf82,1,Non-interacting
C8orf88,1,Non-interacting
C9orf116,1,Non-interacting
C9orf135,1,Non-interacting
C9orf142,1,Non-interacting
C9orf172,1,Non-interacting
C9orf64,1,Non-interacting
C9orf72,1,Non-interacting
C9orf78,1,Non-interacting
CA10,1,Interacting
CA12,1,Interacting
CA2,1,Interacting
CA3,1,Interacting
CA5A,1,Interacting
CA7,1,Interacting
CAB39,1,Interacting
CABP1,1,Non-interacting
CABP2,1,Non-interacting
CABP5,1,Non-interacting
CACHD1,1,Interacting
CACNA1G,1,Non-interacting
CACNA2D2,1,Non-interacting
CACNG1,1,Non-interacting
CACNG2,1,Non-interacting
CACNG3,1,Non-interacting
CACNG5,1,Non-interacting
CACNG7,1,Non-interacting
CACTIN,1,Non-interacting
CACUL1,1,Interacting
CAD,1,Non-interacting
CALB2,1,Non-interacting
CALCOCO1,1,Non-interacting
CALCOCO2,1,Non-interacting
CALHM2,1,Non-interacting
CALML3,1,Non-interacting
CALML6,1,Non-interacting
CAMK1D,1,Interacting
CAMK1G,1,Interacting
CAMK2A,1,Interacting
CAMK2B,1,Interacting
CAMK2N1,1,Non-interacting
CAMK2N2,1,Non-interacting
CAMLG,1,Non-interacting
CAMTA1,1,Interacting
CANX,1,Non-interacting
CAP2,1,Interacting
CAPN5,1,Non-interacting
CAPN9,1,Non-interacting
CAPRIN1,1,Non-interacting
CAPRIN2,1,Non-interacting
CAPSL,1,Non-interacting
CAPZA2,1,Interacting
CARD10,1,Non-interacting
CARNS1,1,Non-interacting
CARTPT,1,Non-interacting
CASC4,1,Non-interacting
CASKIN1,1,Interacting
CASP14,1,Interacting
CASP2,1,Interacting
CASP3,1,Interacting
CASQ1,1,Non-interacting
CASQ2,1,Non-interacting
CASR,1,Non-interacting
CASTOR1,1,Non-interacting
CAV1,1,Non-interacting
CAV3,1,Non-interacting
CAVIN1,1,Non-interacting
CBLN1,1,Non-interacting
CBLN4,1,Non-interacting
CBR4,1,Interacting
CBX7,1,Non-interacting
CBY3,1,Non-interacting
CCAR1,1,Non-interacting
CCAR2,1,Non-interacting
CCBE1,1,Non-interacting
CCDC102A,1,Non-interacting
CCDC106,1,Non-interacting
CCDC112,1,Non-interacting
CCDC124,1,Non-interacting
CCDC134,1,Non-interacting
CCDC151,1,Non-interacting
CCDC152,1,Non-interacting
CCDC167,1,Non-interacting
CCDC182,1,Non-interacting
CCDC185,1,Non-interacting
CCDC189,1,Non-interacting
CCDC25,1,Non-interacting
CCDC3,1,Non-interacting
CCDC42,1,Non-interacting
CCDC47,1,Non-interacting
CCDC54,1,Non-interacting
CCDC69,1,Non-interacting
CCDC71L,1,Non-interacting
CCKAR,1,Non-interacting
CCKBR,1,Non-interacting
CCL28,1,Interacting
CCL5,1,Interacting
CCL7,1,Interacting
CCM2,1,Interacting
CCNB1IP1,1,Non-interacting
CCNB2,1,Interacting
CCND2,1,Interacting
CCND3,1,Interacting
CCNE1,1,Interacting
CCNG2,1,Interacting
CCNI,1,Interacting
CCNJ,1,Interacting
CCNJL,1,Interacting
CCNK,1,Interacting
CCNO,1,Interacting
CCNT1,1,Interacting
CCNYL1,1,Interacting
CCR10,1,Non-interacting
CCR4,1,Non-interacting
CCR9,1,Non-interacting
CCT3,1,Non-interacting
CCT4,1,Non-interacting
CCT5,1,Non-interacting
CCT8L2,1,Non-interacting
CD248,1,Interacting
CD2BP2,1,Non-interacting
CD302,1,Interacting
CD37,1,Non-interacting
CD3D,1,Interacting
CD68,1,Non-interacting
CD74,1,Non-interacting
CD81,1,Non-interacting
CDC23,1,Interacting
CDC37,1,Non-interacting
CDC37L1,1,Non-interacting
CDC42BPA,1,Interacting
CDCP1,1,Non-interacting
CDH10,1,Non-interacting
CDH11,1,Non-interacting
CDH12,1,Non-interacting
CDH22,1,Non-interacting
CDH4,1,Interacting
CDH6,1,Non-interacting
CDH7,1,Non-interacting
CDH8,1,Non-interacting
CDH9,1,Non-interacting
CDK10,1,Interacting
CDK12,1,Interacting
CDK13,1,Interacting
CDK14,1,Interacting
CDK15,1,Interacting
CDK16,1,Interacting
CDK18,1,Interacting
CDK19,1,Interacting
CDK2AP1,1,Non-interacting
CDK2AP2,1,Non-interacting
CDK5R2,1,Interacting
CDK5RAP1,1,Non-interacting
CDK8,1,Interacting
CDK9,1,Interacting
CDKL2,1,Interacting
CDKN1A,1,Non-interacting
CDKN2B,1,Interacting
CDKN3,1,Interacting
CDNF,1,Non-interacting
CDYL2,1,Non-interacting
CEACAM16,1,Interacting
CEBPA,1,Non-interacting
CEBPD,1,Non-interacting
CEBPG,1,Non-interacting
CECR6,1,Non-interacting
CELA1,1,Interacting
CELF2,1,Interacting
CELF5,1,Interacting
CELF6,1,Interacting
CEND1,1,Non-interacting
CENPB,1,Non-interacting
CENPL,1,Non-interacting
CENPM,1,Non-interacting
CENPP,1,Non-interacting
CEP170,1,Non-interacting
CEP170B,1,Non-interacting
CEP192,1,Non-interacting
CEP76,1,Non-interacting
CEP97,1,Non-interacting
CER1,1,Non-interacting
CERK,1,Non-interacting
CERKL,1,Non-interacting
CERS3,1,Non-interacting
CFAP157,1,Non-interacting
CHAF1B,1,Interacting
CHD6,1,Interacting
CHD8,1,Non-interacting
CHD9,1,Interacting
CHEK1,1,Interacting
CHID1,1,Non-interacting
CHKB,1,Non-interacting
CHML,1,Non-interacting
CHMP1A,1,Non-interacting
CHMP5,1,Non-interacting
CHMP6,1,Non-interacting
CHN1,1,Non-interacting
CHN2,1,Non-interacting
CHORDC1,1,Non-interacting
CHP1,1,Non-interacting
CHP2,1,Non-interacting
CHRAC1,1,Interacting
CHRFAM7A,1,Interacting
CHRM2,1,Non-interacting
CHRM4,1,Non-interacting
CHRNA10,1,Interacting
CHRNA3,1,Interacting
CHRNA7,1,Interacting
CHST13,1,Non-interacting
CHST15,1,Non-interacting
CHST4,1,Non-interacting
CHSY1,1,Non-interacting
CIAO1,1,Non-interacting
CIAPIN1,1,Non-interacting
CIB3,1,Non-interacting
CIDEC,1,Non-interacting
CISD3,1,Non-interacting
CIZ1,1,Non-interacting
CKM,1,Non-interacting
CKMT1A,1,Non-interacting
CKS2,1,Non-interacting
CLASP1,1,Non-interacting
CLC,1,Non-interacting
CLCF1,1,Interacting
CLCN5,1,Interacting
CLCN6,1,Interacting
CLCN7,1,Interacting
CLDN20,1,Non-interacting
CLDN4,1,Non-interacting
CLDN5,1,Non-interacting
CLDN6,1,Non-interacting
CLDN7,1,Non-interacting
CLDND1,1,Non-interacting
CLDND2,1,Non-interacting
CLEC16A,1,Non-interacting
CLEC17A,1,Interacting
CLEC2L,1,Interacting
CLIC2,1,Interacting
CLIC3,1,Non-interacting
CLIP3,1,Interacting
CLK2,1,Interacting
CLMP,1,Interacting
CLN3,1,Non-interacting
CLNS1A,1,Non-interacting
CLOCK,1,Non-interacting
CLP1,1,Non-interacting
CLPP,1,Interacting
CLPS,1,Non-interacting
CLRN1,1,Non-interacting
CLRN2,1,Non-interacting
CLSTN1,1,Non-interacting
CMAS,1,Interacting
CMC4,1,Non-interacting
CNBP,1,Non-interacting
CNGA3,1,Interacting
CNKSR3,1,Non-interacting
CNN1,1,Non-interacting
CNN2,1,Non-interacting
CNNM1,1,Non-interacting
CNOT3,1,Non-interacting
CNOT9,1,Non-interacting
CNTF,1,Interacting
CNTN4,1,Interacting
COASY,1,Non-interacting
COCH,1,Interacting
COG6,1,Non-interacting
COG7,1,Non-interacting
COL11A2,1,Non-interacting
COL26A1,1,Non-interacting
COL4A5,1,Non-interacting
COL5A2,1,Non-interacting
COL6A2,1,Interacting
COL6A3,1,Interacting
COLEC10,1,Interacting
COMTD1,1,Non-interacting
COPA,1,Non-interacting
COPG1,1,Non-interacting
COPS3,1,Non-interacting
COQ6,1,Non-interacting
COQ9,1,Non-interacting
CORIN,1,Non-interacting
CORO1B,1,Non-interacting
CORO2A,1,Non-interacting
CORO6,1,Non-interacting
COTL1,1,Non-interacting
COX4I2,1,Non-interacting
COX6B2,1,Non-interacting
COX8C,1,Non-interacting
CPA3,1,Non-interacting
CPD,1,Non-interacting
CPE,1,Non-interacting
CPEB1,1,Non-interacting
CPEB4,1,Interacting
CPLX1,1,Non-interacting
CPLX2,1,Non-interacting
CPLX3,1,Non-interacting
CPLX4,1,Non-interacting
CPNE3,1,Non-interacting
CPNE5,1,Non-interacting
CPNE6,1,Non-interacting
CPNE8,1,Non-interacting
CPT1B,1,Non-interacting
CPTP,1,Non-interacting
CPXM2,1,Non-interacting
CPZ,1,Non-interacting
CRABP1,1,Non-interacting
CRABP2,1,Non-interacting
CRAT,1,Non-interacting
CRCP,1,Non-interacting
CREBBP,1,Interacting
CREG2,1,Non-interacting
CRELD1,1,Non-interacting
CRHR1,1,Non-interacting
CRIP1,1,Non-interacting
CRIP3,1,Non-interacting
CRLF2,1,Interacting
CRLF3,1,Non-interacting
CRTAC1,1,Non-interacting
CRTAP,1,Non-interacting
CRTC1,1,Non-interacting
CRTC3,1,Non-interacting
CRX,1,Non-interacting
CRY1,1,Non-interacting
CRYBA4,1,Non-interacting
CRYBB1,1,Non-interacting
CRYBB3,1,Non-interacting
CRYGC,1,Non-interacting
CRYGS,1,Non-interacting
CSDE1,1,Non-interacting
CSF2,1,Non-interacting
CSF3,1,Non-interacting
CSMD3,1,Interacting
CSNK1A1,1,Interacting
CSRP1,1,Non-interacting
CSRP2,1,Non-interacting
CST3,1,Interacting
CST9L,1,Non-interacting
CSTF1,1,Non-interacting
CSTF3,1,Non-interacting
CSTL1,1,Non-interacting
CTBP1,1,Non-interacting
CTDNEP1,1,Non-interacting
CTF1,1,Interacting
CTIF,1,Non-interacting
CTNNA2,1,Interacting
CTNNBL1,1,Interacting
CTNND1,1,Non-interacting
CTNND2,1,Non-interacting
CTSA,1,Interacting
CTSB,1,Non-interacting
CTSE,1,Non-interacting
CTSF,1,Non-interacting
CTSZ,1,Non-interacting
CTU2,1,Non-interacting
CUEDC1,1,Non-interacting
CUEDC2,1,Non-interacting
CUL1,1,Interacting
CUL3,1,Interacting
CUL4B,1,Interacting
CUL5,1,Interacting
CUTA,1,Interacting
CUTC,1,Non-interacting
CUX2,1,Non-interacting
CUZD1,1,Non-interacting
CWF19L1,1,Non-interacting
CXADR,1,Interacting
CXCL10,1,Non-interacting
CXCL11,1,Non-interacting
CXCL8,1,Interacting
CYB561,1,Non-interacting
CYB5A,1,Non-interacting
CYB5B,1,Non-interacting
CYB5D1,1,Non-interacting
CYP1A1,1,Non-interacting
CYP1B1,1,Non-interacting
CYP24A1,1,Non-interacting
CYP26A1,1,Non-interacting
CYP27B1,1,Non-interacting
CYP27C1,1,Non-interacting
CYP2C18,1,Non-interacting
CYP39A1,1,Non-interacting
CYP46A1,1,Non-interacting
CYP4F22,1,Non-interacting
CYP4X1,1,Non-interacting
CYP51A1,1,Non-interacting
CYSLTR1,1,Non-interacting
CYTH1,1,Non-interacting
CYTH2,1,Non-interacting
CYTH4,1,Non-interacting
CYTIP,1,Non-interacting
D2HGDH,1,Non-interacting
DACH2,1,Non-interacting
DACT3,1,Non-interacting
DAD1,1,Non-interacting
DAPK2,1,Interacting
DAPK3,1,Interacting
DAZAP1,1,Interacting
DAZL,1,Interacting
DBN1,1,Non-interacting
DBR1,1,Non-interacting
DCAF11,1,Non-interacting
DCAF12,1,Non-interacting
DCAF15,1,Non-interacting
DCAF16,1,Non-interacting
DCAF4,1,Non-interacting
DCAF4L1,1,Non-interacting
DCAF4L2,1,Non-interacting
DCAF8,1,Non-interacting
DCAKD,1,Non-interacting
DCC,1,Interacting
DCLRE1B,1,Non-interacting
DCTD,1,Non-interacting
DCTN2,1,Non-interacting
DCTN4,1,Non-interacting
DCTN6,1,Non-interacting
DCUN1D3,1,Non-interacting
DCUN1D4,1,Interacting
DCUN1D5,1,Non-interacting
DCXR,1,Interacting
DDA1,1,Non-interacting
DDAH2,1,Non-interacting
DDHD1,1,Non-interacting
DDIT4L,1,Non-interacting
DDOST,1,Non-interacting
DDR2,1,Interacting
DDRGK1,1,Non-interacting
DDX1,1,Interacting
DDX27,1,Interacting
DDX3X,1,Interacting
DDX49,1,Interacting
DDX5,1,Interacting
DDX51,1,Interacting
DEAF1,1,Non-interacting
DEDD2,1,Non-interacting
DEF8,1,Non-interacting
DEFB103A,1,Non-interacting
DEFB105A,1,Non-interacting
DEFB114,1,Non-interacting
DEFB121,1,Non-interacting
DEFB131A,1,Non-interacting
DEGS2,1,Non-interacting
DENND2A,1,Non-interacting
DENND2D,1,Non-interacting
DENND5B,1,Non-interacting
DENR,1,Non-interacting
DEPDC7,1,Non-interacting
DERL2,1,Non-interacting
DES,1,Non-interacting
DET1,1,Non-interacting
DEXI,1,Non-interacting
DFFA,1,Interacting
DFFB,1,Interacting
DFNB59,1,Non-interacting
DGAT2,1,Non-interacting
DGCR14,1,Non-interacting
DGCR6L,1,Non-interacting
DGCR8,1,Non-interacting
DGKB,1,Non-interacting
DGKE,1,Non-interacting
DGKG,1,Non-interacting
DGKI,1,Interacting
DGKZ,1,Interacting
DGUOK,1,Non-interacting
DHH,1,Interacting
DHODH,1,Non-interacting
DHPS,1,Non-interacting
DHRS3,1,Interacting
DHRS7C,1,Interacting
DHRSX,1,Interacting
DHX30,1,Interacting
DHX32,1,Interacting
DIP2A,1,Non-interacting
DIP2B,1,Non-interacting
DIP2C,1,Non-interacting
DIRAS1,1,Non-interacting
DIRAS2,1,Non-interacting
DIRAS3,1,Interacting
DIRC2,1,Non-interacting
DIS3,1,Non-interacting
DIS3L,1,Non-interacting
DISC1,1,Non-interacting
DKK1,1,Non-interacting
DKK2,1,Non-interacting
DKK3,1,Non-interacting
DLEU7,1,Non-interacting
DLGAP3,1,Non-interacting
DLGAP4,1,Interacting
DLK1,1,Non-interacting
DLK2,1,Non-interacting
DLL1,1,Non-interacting
DLL4,1,Non-interacting
DLX1,1,Non-interacting
DLX2,1,Non-interacting
DMRT2,1,Non-interacting
DMRTA1,1,Non-interacting
DMRTA2,1,Non-interacting
DMTF1,1,Non-interacting
DMTN,1,Non-interacting
DNAH11,1,Non-interacting
DNAH14,1,Non-interacting
DNAH5,1,Non-interacting
DNAJA1,1,Interacting
DNAJA2,1,Interacting
DNAJB11,1,Interacting
DNAJB5,1,Interacting
DNAJC11,1,Non-interacting
DNAJC14,1,Interacting
DNAJC18,1,Interacting
DNAJC2,1,Non-interacting
DNAJC27,1,Interacting
DNAJC3,1,Interacting
DNAJC6,1,Non-interacting
DNAL1,1,Interacting
DNASE1L1,1,Non-interacting
DNER,1,Non-interacting
DNTTIP1,1,Non-interacting
DOCK1,1,Interacting
DOCK11,1,Non-interacting
DOCK8,1,Non-interacting
DOK5,1,Non-interacting
DPH3,1,Non-interacting
DPP6,1,Interacting
DPP9,1,Interacting
DPY19L1,1,Non-interacting
DPY19L3,1,Non-interacting
DPYSL2,1,Non-interacting
DPYSL3,1,Non-interacting
DR1,1,Interacting
DRAM1,1,Non-interacting
DRAP1,1,Non-interacting
DRAXIN,1,Non-interacting
DRD4,1,Non-interacting
DRG2,1,Non-interacting
DSCAML1,1,Interacting
DSCC1,1,Non-interacting
DSCR3,1,Non-interacting
DSTN,1,Non-interacting
DTNA,1,Non-interacting
DTNB,1,Non-interacting
DTWD1,1,Non-interacting
DUOXA2,1,Non-interacting
DUPD1,1,Interacting
DUS1L,1,Non-interacting
DUSP14,1,Interacting
DUSP19,1,Interacting
DUSP27,1,Interacting
DUSP3,1,Interacting
DUSP4,1,Interacting
DYM,1,Non-interacting
DYNC1H1,1,Interacting
DYNC1I1,1,Non-interacting
DYNC1LI2,1,Non-interacting
DYNLRB1,1,Non-interacting
DYNLT1,1,Non-interacting
DYRK1B,1,Interacting
DYRK2,1,Interacting
DYRK3,1,Interacting
DZIP3,1,Non-interacting
E2F6,1,Non-interacting
E2F7,1,Non-interacting
E2F8,1,Non-interacting
EAF2,1,Non-interacting
EAPP,1,Non-interacting
EARS2,1,Non-interacting
EBF3,1,Non-interacting
EBPL,1,Non-interacting
ECE1,1,Non-interacting
ECEL1,1,Non-interacting
ECHDC1,1,Non-interacting
ECHDC2,1,Non-interacting
ECHDC3,1,Non-interacting
ECI1,1,Non-interacting
ECM2,1,Non-interacting
EDC4,1,Non-interacting
EDF1,1,Non-interacting
EDN2,1,Non-interacting
EDN3,1,Non-interacting
EDNRA,1,Non-interacting
EDNRB,1,Non-interacting
EEF1AKMT1,1,Non-interacting
EEF1AKMT3,1,Non-interacting
EEF1E1,1,Non-interacting
EEFSEC,1,Non-interacting
EEPD1,1,Non-interacting
EFCAB1,1,Non-interacting
EFCAB11,1,Non-interacting
EFCC1,1,Non-interacting
EFEMP1,1,Non-interacting
EFEMP2,1,Non-interacting
EFNA1,1,Interacting
EFNA2,1,Interacting
EFNA3,1,Interacting
EFNA5,1,Non-interacting
EFNB2,1,Interacting
EFR3A,1,Non-interacting
EFR3B,1,Non-interacting
EGFL8,1,Non-interacting
EGLN1,1,Non-interacting
EGLN3,1,Non-interacting
EGR1,1,Interacting
EGR3,1,Interacting
EGR4,1,Non-interacting
EHD2,1,Non-interacting
EHD3,1,Non-interacting
EID1,1,Non-interacting
EIF1,1,Non-interacting
EIF1AD,1,Non-interacting
EIF1B,1,Non-interacting
EIF2AK3,1,Interacting
EIF2AK4,1,Interacting
EIF2B1,1,Non-interacting
EIF2B2,1,Non-interacting
EIF2B5,1,Non-interacting
EIF2S1,1,Non-interacting
EIF2S2,1,Non-interacting
EIF2S3,1,Non-interacting
EIF2S3L,1,Non-interacting
EIF3A,1,Non-interacting
EIF3E,1,Non-interacting
EIF3M,1,Non-interacting
EIF4E,1,Non-interacting
EIF4E2,1,Non-interacting
EIF4E3,1,Non-interacting
EIF4EBP3,1,Non-interacting
EIF4H,1,Non-interacting
EIF5A2,1,Non-interacting
EIF6,1,Non-interacting
ELAVL1,1,Interacting
ELF2,1,Non-interacting
ELF3,1,Non-interacting
ELF4,1,Interacting
ELF5,1,Non-interacting
ELK1,1,Non-interacting
ELMO1,1,Non-interacting
ELMOD1,1,Non-interacting
ELMSAN1,1,Non-interacting
ELOVL1,1,Non-interacting
ELOVL2,1,Non-interacting
ELOVL5,1,Non-interacting
ELOVL6,1,Non-interacting
ELP6,1,Non-interacting
EMC4,1,Non-interacting
EMC6,1,Non-interacting
EMC7,1,Non-interacting
EMC8,1,Non-interacting
EMC9,1,Non-interacting
EMP3,1,Non-interacting
EN2,1,Non-interacting
ENC1,1,Interacting
ENHO,1,Non-interacting
ENO2,1,Non-interacting
ENO3,1,Non-interacting
ENOPH1,1,Non-interacting
ENPP2,1,Non-interacting
ENTPD3,1,Non-interacting
ENTPD4,1,Non-interacting
ENTPD7,1,Non-interacting
EOGT,1,Non-interacting
EP300,1,Interacting
EPB41L4B,1,Interacting
EPHA2,1,Interacting
EPHA6,1,Interacting
EPHA8,1,Interacting
EPHB3,1,Interacting
EPHB6,1,Interacting
EPHX1,1,Non-interacting
EPHX3,1,Interacting
EPHX4,1,Interacting
EPN2,1,Non-interacting
EPN3,1,Non-interacting
EPS15L1,1,Non-interacting
EPYC,1,Interacting
ERBB3,1,Interacting
ERCC2,1,Non-interacting
ERCC4,1,Non-interacting
ERCC8,1,Non-interacting
ERH,1,Non-interacting
ERI3,1,Non-interacting
ERLEC1,1,Non-interacting
ERLIN2,1,Non-interacting
ERMAP,1,Interacting
ERN1,1,Interacting
ERP44,1,Interacting
ERRFI1,1,Non-interacting
ERVV-1,1,Non-interacting
ERVV-2,1,Non-interacting
ESPN,1,Interacting
ESYT2,1,Non-interacting
ETFA,1,Non-interacting
ETFRF1,1,Non-interacting
ETHE1,1,Non-interacting
ETNK1,1,Non-interacting
ETS1,1,Interacting
ETV1,1,Interacting
ETV6,1,Non-interacting
ETV7,1,Non-interacting
EVA1B,1,Non-interacting
EVA1C,1,Non-interacting
EVC,1,Non-interacting
EVI5,1,Non-interacting
EVI5L,1,Non-interacting
EXOC1,1,Non-interacting
EXOC2,1,Non-interacting
EXOC3,1,Non-interacting
EXOC3L2,1,Non-interacting
EXOC4,1,Non-interacting
EXOC6,1,Non-interacting
EXOC7,1,Non-interacting
EXOSC1,1,Non-interacting
EXOSC6,1,Non-interacting
EXOSC7,1,Non-interacting
EXOSC9,1,Non-interacting
EXTL3,1,Non-interacting
EZH1,1,Non-interacting
F10,1,Interacting
F3,1,Interacting
FAAP24,1,Non-interacting
FABP12,1,Non-interacting
FABP3,1,Non-interacting
FABP6,1,Non-interacting
FABP9,1,Non-interacting
FADD,1,Non-interacting
FAHD1,1,Non-interacting
FAHD2B,1,Non-interacting
FAIM2,1,Non-interacting
FAM102B,1,Non-interacting
FAM103A1,1,Non-interacting
FAM105A,1,Non-interacting
FAM106A,1,Non-interacting
FAM110A,1,Interacting
FAM110B,1,Non-interacting
FAM118A,1,Non-interacting
FAM120A,1,Non-interacting
FAM120B,1,Non-interacting
FAM124B,1,Non-interacting
FAM126A,1,Non-interacting
FAM131B,1,Non-interacting
FAM135A,1,Non-interacting
FAM13A,1,Non-interacting
FAM151B,1,Non-interacting
FAM155B,1,Non-interacting
FAM163B,1,Non-interacting
FAM166A,1,Non-interacting
FAM168B,1,Non-interacting
FAM171A2,1,Non-interacting
FAM173A,1,Non-interacting
FAM174A,1,Non-interacting
FAM177B,1,Non-interacting
FAM180A,1,Non-interacting
FAM181B,1,Non-interacting
FAM184A,1,Non-interacting
FAM189B,1,Non-interacting
FAM196A,1,Non-interacting
FAM199X,1,Non-interacting
FAM19A2,1,Non-interacting
FAM206A,1,Non-interacting
FAM20C,1,Non-interacting
FAM210A,1,Non-interacting
FAM210B,1,Non-interacting
FAM212B,1,Non-interacting
FAM214B,1,Non-interacting
FAM219A,1,Non-interacting
FAM219B,1,Non-interacting
FAM222B,1,Non-interacting
FAM234B,1,Non-interacting
FAM25A,1,Non-interacting
FAM25BP,1,Non-interacting
FAM25C,1,Non-interacting
FAM25G,1,Non-interacting
FAM32A,1,Non-interacting
FAM3C,1,Interacting
FAM43B,1,Non-interacting
FAM46C,1,Non-interacting
FAM50A,1,Non-interacting
FAM53B,1,Non-interacting
FAM57B,1,Non-interacting
FAM71C,1,Non-interacting
FAM76B,1,Non-interacting
FAM78B,1,Non-interacting
FAM81A,1,Non-interacting
FAM83A,1,Non-interacting
FAM86C1,1,Non-interacting
FAM8A1,1,Non-interacting
FAM91A1,1,Non-interacting
FAM96B,1,Non-interacting
FANCD2OS,1,Non-interacting
FAP,1,Interacting
FARP2,1,Interacting
FASTK,1,Non-interacting
FAT3,1,Non-interacting
FAXC,1,Non-interacting
FBLN7,1,Interacting
FBP1,1,Non-interacting
FBP2,1,Interacting
FBXL12,1,Non-interacting
FBXL15,1,Non-interacting
FBXL16,1,Non-interacting
FBXL18,1,Non-interacting
FBXL20,1,Non-interacting
FBXL6,1,Non-interacting
FBXL7,1,Non-interacting
FBXO10,1,Non-interacting
FBXO17,1,Non-interacting
FBXO21,1,Interacting
FBXO27,1,Non-interacting
FBXO28,1,Non-interacting
FBXO31,1,Non-interacting
FBXO32,1,Non-interacting
FBXO33,1,Non-interacting
FBXO38,1,Non-interacting
FBXO4,1,Non-interacting
FBXO41,1,Non-interacting
FBXO5,1,Non-interacting
FBXO8,1,Non-interacting
FBXO9,1,Non-interacting
FBXW8,1,Non-interacting
FCHO1,1,Non-interacting
FECH,1,Non-interacting
FEM1A,1,Interacting
FEM1B,1,Interacting
FEM1C,1,Interacting
FEN1,1,Interacting
FERD3L,1,Non-interacting
FERMT2,1,Interacting
FES,1,Interacting
FEV,1,Interacting
FGF10,1,Interacting
FGF11,1,Interacting
FGF12,1,Interacting
FGF17,1,Interacting
FGF18,1,Interacting
FGF19,1,Non-interacting
FGF3,1,Interacting
FGF4,1,Interacting
FGF9,1,Non-interacting
FGFBP3,1,Non-interacting
FGFR1OP,1,Non-interacting
FGFR1OP2,1,Non-interacting
FHOD3,1,Non-interacting
FIBIN,1,Non-interacting
FIG4,1,Non-interacting
FIGN,1,Non-interacting
FIP1L1,1,Non-interacting
FIS1,1,Non-interacting
FITM1,1,Non-interacting
FIZ1,1,Interacting
FKBP10,1,Interacting
FKBP11,1,Interacting
FKBP1A,1,Interacting
FKBP1B,1,Interacting
FKBP2,1,Non-interacting
FKBP3,1,Non-interacting
FKBP7,1,Non-interacting
FKBP8,1,Interacting
FKBP9,1,Non-interacting
FKBPL,1,Interacting
FKRP,1,Non-interacting
FKTN,1,Non-interacting
FLCN,1,Non-interacting
FLII,1,Non-interacting
FLOT2,1,Non-interacting
FLRT1,1,Non-interacting
FLRT2,1,Non-interacting
FLVCR1,1,Non-interacting
FLVCR2,1,Non-interacting
FMC1,1,Non-interacting
FMO5,1,Non-interacting
FMOD,1,Non-interacting
FMR1,1,Non-interacting
